Handle, BlitzRating, BlitzRD, BlitzWon, BlitzLost, BlitzDrawn, BlitzTotal
dragonindia, 1604, 125.0, 4272, 3846, 432, 8550
dragonmutt, 1818, 31.8, 1859, 544, 70, 2473
Dragonss, 1338, 176.6, 6, 6, 0, 12
DragonWasp, 1511, 39.5, 5599, 3631, 573, 9803
DragonWater, 1204, 45.1, 1097, 1155, 70, 2322
dragunflyorig, 1088, 34.4, 3532, 4591, 116, 8239
Drakem, 1709, 52.4, 4553, 5190, 466, 10209
DRAKES, 1267, 207.1, 8, 5, 0, 13
Draknils, 861, 107.6, 35, 116, 3, 154
drakorg, 1328, 150.4, 1861, 1836, 92, 3789
Draqnur, 1473, 29.9, 5911, 4755, 352, 11018
Dravenspawn, 1127, 102.2, 1476, 1856, 140, 3472, 1869, 40.3, 2889, 485, 147, 3521
drcaz, 957, 84.5, 47, 130, 3, 180
DrDoodles, 1345, 68.5, 186, 159, 21, 366
Dreadtower, 1126, 68.3, 1361, 1487, 173, 3021
Dreal, 904, 58.1, 146, 472, 2, 620
DreamBasher, 1074, 67.7, 308, 376, 24, 708
DreamerJen, 1509, 194.3, 2, 5, 0, 7
Dreamoonplayer, 1096, 81.3, 52, 145, 0, 197
dreamscometrue, 1274, 55.0, 3696, 3091, 219, 7006
DreamSoLD, 1736, 25.0, 9989, 12341, 927, 23257
Dreamtiger, 1480, 42.0, 328, 252, 26, 606
Dregandice, 853, 81.2, 40, 133, 1, 174
Dresah, 1532, 51.8, 639, 646, 48, 1333
drevilsrevenge, 1325, 80.1, 362, 322, 40, 724
drewchess, 1295, 24.9, 6511, 6328, 507, 13346
drewe, 1563, 89.7, 2638, 1296, 133, 4067
DrewM, 1240, 149.9, 1, 7, 0, 8
Drewskidog, 1066, 29.4, 5398, 13261, 491, 19150
drewwid, 1786, 91.5, 372, 287, 54, 713
Drfbel, 1992, 34.1, 7320, 5043, 661, 13024
DrFloyd, 1362, 57.2, 496, 416, 36, 948
DrFractal, 1565, 67.4, 327, 256, 48, 631
Dribbel, 1525, 52.7, 2482, 2106, 160, 4748
drinkingwater, 1383, 28.1, 2574, 2450, 233, 5257
DriveBy, 955, 145.4, 31, 47, 6, 84
drjineshm, 1285, 39.1, 278, 266, 16, 560
drknightley, 1629, 34.6, 2747, 2188, 154, 5089
drleper, 1450, 65.7, 278, 190, 35, 503
DrLivesey, 1643, 63.6, 1966, 847, 115, 2928
DrLx, 1533, 47.8, 1078, 931, 160, 2169
dropofahat, 947, 36.5, 67, 125, 2, 194
DropVolley, 1586, 24.9, 13475, 18756, 2243, 34474
drovosek, 935, 88.5, 13, 48, 0, 61
drowinbandung, 746, 50.2, 71, 247, 3, 321
DrOzark, 1037, 98.3, 12, 21, 0, 33
drpesic, 1297, 32.4, 1635, 874, 56, 2565
DrQuiteaFish, 1491, 39.2, 1114, 685, 74, 1873
DrRai, 1679, 72.4, 3133, 4226, 540, 7899
DRrenard, 1213, 127.4, 4, 14, 1, 19
DrRick, 1383, 306.5, 0, 1, 0, 1
drrob, 1000, 78.8, 126, 146, 9, 281
DrRoscoe, 1476, 45.3, 471, 330, 69, 870
drsoji, 1331, 256.8, 0, 2, 0, 2
DrStupp, 1260, 24.9, 6639, 6874, 462, 13975
drtarunmitra, 1393, 31.8, 1975, 3019, 177, 5171
drTiele, 1716, 121.6, 755, 482, 65, 1302
drtim, 1217, 27.8, 14588, 17616, 1228, 33432
DrToma, 1907, 34.7, 917, 440, 96, 1453
drumme, 1353, 28.0, 4662, 4098, 148, 8908
drummerforlife, 1242, 41.5, 34, 84, 4, 122
drumset, 1115, 42.3, 1075, 686, 66, 1827
drumstick, 1549, 35.9, 3969, 3550, 272, 7791
drunkenstudent, 692, 165.1, 0, 10, 0, 10
DrunkGangsta, 1405, 160.3, 96, 78, 15, 189
drunkhominind, 1303, 47.8, 310, 377, 26, 713
drusliphay, 1288, 51.2, 86, 49, 3, 138
druze, 1631, 157.7, 6, 4, 0, 10
drvallabhai, 1307, 78.8, 335, 241, 19, 595
DrVasarhelyi, 1570, 39.7, 1214, 891, 117, 2222
DrVenomKill, 1417, 48.2, 415, 235, 10, 660
drwil, 1337, 27.7, 3864, 6952, 417, 11233
Dryden, 1416, 71.5, 1460, 1542, 155, 3157
DrYnti, 1373, 31.1, 1954, 2193, 241, 4388
DrywallRickshaw, 1177, 40.5, 768, 1541, 108, 2417
drzach, 966, 71.2, 23, 66, 4, 93
dshorwich, 1516, 35.5, 11150, 5636, 490, 17276
DSJ, 908, 125.4, 76, 222, 14, 312
Dskjockey, 951, 88.0, 123, 181, 9, 313
DSLtec, 1479, 51.9, 1788, 749, 244, 2781
Dsmith, 1647, 184.1, 370, 334, 33, 737
dsmithuc, 1524, 45.9, 2541, 3234, 273, 6048
dsoneenc, 1286, 79.6, 191, 195, 13, 399
dstaplet, 880, 100.5, 23, 56, 1, 80
dstrout, 1522, 62.0, 1573, 1879, 353, 3805
Dszudszak, 1059, 44.2, 640, 2877, 94, 3611
Dtchess, 1487, 24.8, 612, 1262, 106, 1980
dth, 1339, 22.5, 2641, 2472, 181, 5294
dtm, 1492, 61.5, 2291, 1329, 118, 3738
dtorbo, 1287, 28.1, 3289, 3288, 286, 6863
DTower, 1377, 48.5, 2907, 2680, 347, 5934
DubbleD, 1434, 99.1, 320, 269, 17, 606
DUBBLEX, 1267, 83.3, 1418, 1878, 139, 3435
Dubforlife, 1736, 31.2, 1066, 774, 133, 1973
Dubina, 1578, 39.7, 9417, 10241, 941, 20599
dubiousfact, 1405, 136.2, 938, 626, 64, 1628
Duckcat, 1843, 90.8, 369, 240, 5, 614
Duckington, 1154, 99.6, 79, 123, 3, 205
Ducorguy, 1191, 27.5, 1972, 3521, 183, 5676
DudeDao, 1206, 126.4, 107, 125, 6, 238
dudemchungry, 1413, 118.0, 9, 25, 0, 34
Duf, 1737, 67.1, 23891, 9196, 1332, 34419
duhme, 1489, 22.5, 6866, 5987, 812, 13665
duigi, 1858, 65.3, 614, 216, 67, 897
Duin, 1689, 20.6, 2104, 1121, 115, 3340
DukeAlbertNYC, 1205, 177.0, 26, 62, 1, 89
DukeCity, 1477, 26.2, 673, 493, 38, 1204
dukelone, 1108, 40.7, 230, 390, 14, 634
Dumbhead, 1863, 27.5, 9682, 7765, 552, 17999
dumdidum, 1913, 23.9, 4405, 3367, 517, 8289
dunamos, 1389, 34.8, 4927, 4831, 193, 9951
dungcao, 1606, 115.5, 142, 57, 3, 202
duniel, 1522, 100.7, 42, 66, 6, 114
Dunking, 1639, 27.3, 3320, 2429, 321, 6070
duplica, 1286, 28.9, 1562, 1719, 221, 3502
DuPontDoc, 1465, 39.5, 11859, 6592, 713, 19164
Dupontel, 1183, 26.9, 745, 1651, 81, 2477
Duquesne, 1142, 30.1, 11212, 13619, 1132, 25963
Duraidm, 1034, 49.0, 128, 373, 9, 510
durantex, 1827, 163.0, 2851, 1595, 127, 4573
duraysteeus, 960, 45.0, 482, 1139, 28, 1649
Dureflame, 859, 81.6, 17, 73, 3, 93
DusanzD, 1835, 25.8, 3248, 1713, 232, 5193
dushes, 1572, 53.3, 5639, 6203, 377, 12219
dushesatchess, 1551, 26.5, 393, 328, 38, 759
dustey, 1112, 43.1, 3121, 3809, 309, 7239
dustineichelberge, 940, 84.1, 290, 525, 21, 836
DustinH, 1398, 98.2, 190, 175, 7, 372
Dustysky, 820, 102.4, 173, 424, 13, 610
DutchChessHustler, 1570, 32.6, 66, 74, 10, 150
dutchgeorge, 1539, 25.0, 13626, 23150, 2214, 38990
DutchStonewall, 1160, 46.9, 133, 185, 11, 329
dvaldez, 1580, 121.6, 109, 86, 7, 202
dvayntrub, 1867, 36.4, 6479, 3708, 725, 10912
DVDMASTER, 943, 125.1, 15, 27, 1, 43
dvdsansay, 1341, 36.1, 2699, 2931, 206, 5836
Dviet, 1263, 31.2, 613, 871, 47, 1531
Dvolkov, 1986, 33.8, 300, 205, 40, 545
Dwagner, 1413, 55.8, 906, 794, 151, 1851
dwilliams, 1039, 38.2, 674, 2139, 54, 2867
dwillnu, 1147, 33.5, 970, 1296, 62, 2328
dwit, 989, 60.4, 41, 102, 3, 146
dwsta, 1320, 35.6, 850, 1177, 37, 2064
Dxennu, 1366, 36.1, 1492, 2477, 197, 4166
dyingstar, 1609, 141.8, 245, 339, 62, 646
dylanchess, 1641, 40.7, 1121, 1954, 192, 3267
dylanger, 1596, 47.9, 787, 709, 43, 1539
dylar, 1198, 39.4, 2409, 2331, 223, 4963
dylly, 1575, 115.4, 49, 90, 6, 145
Dynamit, 1302, 27.3, 2646, 2153, 320, 5119
Dyskolatapramata, 1619, 116.2, 3194, 2712, 218, 6124
Dysnomia, 1491, 126.0, 307, 193, 29, 529
Dzeff, 1335, 25.7, 11683, 13490, 1224, 26397
dzeronimo, 1135, 48.9, 192, 271, 22, 485
dzhou, 1152, 197.1, 51, 57, 2, 110
dzomba, 1837, 41.7, 5641, 3724, 430, 9795
eaenki, 1426, 36.7, 1634, 1929, 248, 3811
eagly, 1087, 50.7, 172, 326, 11, 509
EAGW, 1069, 72.5, 37, 54, 6, 97
EamonGeorge, 870, 251.0, 4, 18, 0, 22
eamonnwalls, 1603, 102.0, 3543, 1527, 176, 5246
EarlthePearl, 1500, 34.7, 9218, 11384, 1174, 21776
earthhnut, 1661, 48.6, 350, 163, 17, 530
EarthSpirit, 1496, 80.4, 475, 216, 28, 719
earthtokevin, 986, 41.1, 1052, 1638, 46, 2736
easiest, 2110, 83.0, 673, 336, 50, 1059
eastbound, 1273, 68.4, 1242, 972, 71, 2285
easterndunkers, 1733, 96.8, 616, 444, 74, 1134
EastetdayJason, 1362, 55.3, 111, 87, 11, 209
Easybeat, 1590, 89.8, 680, 530, 38, 1248
easybreezy, 1413, 55.7, 273, 309, 21, 603
EasyG, 911, 99.9, 6, 14, 0, 20
easypawn, 1631, 96.5, 201, 97, 4, 302
Eatan, 1489, 100.4, 1609, 3789, 195, 5593
eatbacon, 1610, 66.5, 306, 245, 30, 581
eatingcake, 1428, 64.8, 999, 1098, 71, 2168
Eattheapple, 1269, 31.0, 491, 748, 14, 1253
eatwithafork, 1423, 39.5, 722, 592, 45, 1359
ebenezer, 1926, 73.9, 492, 156, 41, 689
ebermarco, 1281, 38.8, 1070, 475, 84, 1629
ebnflower, 796, 127.6, 5, 33, 0, 38
eburger, 1289, 27.6, 4692, 5728, 142, 10562
Ecgbert, 1280, 73.6, 2795, 3627, 181, 6603
ecirp, 1133, 33.5, 1895, 1404, 119, 3418
Eclectico, 1628, 31.2, 3022, 3064, 376, 6462
ecochallenge, 1113, 59.8, 18, 24, 4, 46
EColle, 1473, 34.9, 6470, 7464, 667, 14601
ecrvimun, 1635, 85.3, 488, 226, 44, 758
Ecstatic, 1307, 45.4, 772, 1558, 116, 2446
ECurtin, 1789, 32.7, 1365, 1794, 189, 3348
EDCE, 984, 42.7, 274, 160, 5, 439
EddieSG, 1192, 66.6, 679, 670, 62, 1411
eddievg, 1535, 55.8, 494, 556, 42, 1092
EddieWinslow, 1916, 28.7, 2042, 572, 75, 2689
eddyfactor, 977, 24.1, 1940, 2185, 188, 4313
edeserr, 1657, 28.2, 2496, 2256, 239, 4991
EdgarPoe, 1596, 22.4, 2705, 3075, 241, 6021
eDGECRUSHER, 1817, 63.4, 2043, 1936, 225, 4204
EdHoculi, 1669, 19.8, 3092, 4996, 860, 8948
edikm, 1562, 20.5, 13246, 25385, 2302, 40933
edilence, 1241, 37.7, 845, 1093, 55, 1993
edkardoso, 1189, 73.3, 155, 187, 9, 351
edkl, 1297, 26.7, 11016, 7153, 710, 18879
edl, 1661, 31.6, 11791, 18163, 1160, 31114
edluvrr, 979, 141.5, 37, 87, 4, 128
Ednett, 1475, 31.0, 11240, 7244, 965, 19449
EdoRahman, 1516, 25.8, 290, 419, 14, 723
edrobaza, 1021, 208.3, 1, 8, 0, 9
Edronax, 1636, 75.4, 985, 997, 142, 2124
edsuom, 1098, 65.3, 611, 928, 70, 1609
edt, 1511, 30.3, 2337, 1384, 261, 3982
eduitu, 1276, 42.6, 2702, 2808, 195, 5705
Edvardinho, 1171, 56.1, 625, 877, 90, 1592
EDVSR, 1061, 40.0, 4402, 6793, 690, 11885
edwardd, 1612, 26.0, 6002, 6303, 489, 12794
EeePCseries, 1447, 65.8, 1358, 1796, 200, 3354
eeerrr, 878, 84.6, 35, 120, 1, 156
eejl, 790, 170.2, 1, 5, 0, 6
eepee, 1645, 34.7, 21108, 28300, 2462, 51870
effour, 1656, 83.9, 12071, 10645, 1153, 23869
egana, 1232, 42.8, 137, 313, 14, 464
eggcellent, 1277, 31.6, 2457, 4648, 222, 7327
eggertol, 1382, 38.4, 386, 385, 34, 805
Eggie, 1224, 114.4, 833, 424, 73, 1330
eggplant, 1108, 118.9, 1158, 1527, 117, 2802
EgoKnight, 1489, 37.3, 1602, 1019, 168, 2789
EGRENY, 1721, 187.4, 598, 429, 36, 1063
Egygtt, 1079, 63.6, 51, 66, 2, 119
Egymas, 1174, 92.4, 1132, 2193, 121, 3446
Egyptology, 1599, 26.7, 6795, 7323, 522, 14640
Ehalperin, 1809, 42.8, 4146, 4137, 489, 8772
ehvmc, 1323, 90.3, 11, 18, 2, 31
Eichhoernchen, 1916, 31.8, 371, 200, 37, 608
Eightpointer, 1271, 93.5, 67, 148, 10, 225
EIKKO, 1111, 47.5, 2507, 2832, 178, 5517
eikku, 1706, 28.3, 2398, 3403, 526, 6327
EinerWieKeiner, 1739, 31.1, 10267, 15533, 1287, 27087
Einzelganger, 1741, 24.9, 1994, 2827, 273, 5094
eisaak, 1122, 28.0, 1948, 4018, 222, 6188
eisenfaust, 1659, 41.8, 11346, 7195, 862, 19403
Eisengrim, 1596, 73.6, 4325, 3642, 523, 8490
Eisfyre, 1161, 316.8, 0, 2, 0, 2
EJCONTRERAS, 1449, 47.5, 770, 984, 43, 1797
ejf, 1375, 31.0, 9907, 9621, 979, 20507
ejga, 1195, 73.9, 505, 657, 34, 1196
ejmcym, 1172, 348.2, 0, 1, 0, 1
Ejner, 1620, 34.2, 7794, 7449, 676, 15919
EKA, 1637, 21.7, 11996, 13888, 697, 26581
ekg, 1309, 24.2, 2510, 3467, 145, 6122
Ekibin, 1172, 113.0, 285, 334, 21, 640
eklavya, 1261, 38.4, 2647, 2858, 203, 5708
ekostem, 1129, 105.8, 898, 1147, 90, 2135
Elara, 1223, 127.8, 776, 1261, 69, 2106
Elargissor, 1333, 57.1, 1273, 1380, 74, 2727
elaser, 1402, 316.2, 197, 163, 19, 379
elaz, 1084, 73.9, 299, 261, 7, 567
ElBasstardo, 1197, 34.8, 1557, 2295, 143, 3995
elberra, 1723, 25.1, 29018, 7665, 934, 37617
elbolita, 1732, 26.5, 5077, 2615, 210, 7902
ElChapo, 1450, 56.8, 97, 179, 4, 280
elcuervo, 1461, 31.1, 6938, 6800, 753, 14491
elDestructor, 1394, 26.2, 2234, 1876, 171, 4281
eldom, 1396, 108.9, 8, 20, 1, 29
EldonTyrell, 1448, 61.8, 214, 133, 4, 351
ElDorado, 1555, 27.0, 9357, 8351, 425, 18133
EleanorM, 1220, 45.1, 290, 291, 17, 598
eleanorrigby, 1273, 29.0, 2417, 2499, 277, 5193
electioneer, 948, 45.7, 209, 296, 12, 517
electric, 1464, 48.9, 9385, 11010, 1234, 21629
electroJ, 1038, 22.9, 328, 484, 38, 850
Elery, 2150, 25.4, 9639, 5842, 1705, 17186
ElEspada, 1424, 48.3, 848, 822, 93, 1763
ElevatorJoe, 1227, 36.8, 495, 1100, 67, 1662
ElevenRonaldinhos, 1403, 34.2, 3102, 2986, 300, 6388
elexarp, 1260, 40.2, 5155, 6785, 530, 12470
ElFuriozo, 1531, 36.5, 400, 1224, 61, 1685
ElGourdo, 1073, 32.6, 3279, 3756, 446, 7481
elgrande, 1301, 37.2, 12720, 19483, 1062, 33265
elgrandepatzer, 1426, 34.5, 1360, 1143, 51, 2554
Elguapo, 1396, 59.0, 1409, 1275, 85, 2769
eliilia, 1288, 43.7, 5486, 4191, 555, 10232
eliotree, 1451, 30.9, 7494, 5793, 411, 13698
elisav, 1308, 264.5, 5, 3, 0, 8
elivija, 2026, 40.1, 7696, 5739, 466, 13901
eljack, 1383, 26.1, 4173, 4351, 505, 9029
ElJunio, 1444, 22.3, 6407, 5845, 537, 12789
elkeme, 1363, 29.9, 3875, 3682, 448, 8005
elkubano, 1381, 70.4, 45, 56, 5, 106
ElKzadorDeRey, 1198, 43.1, 1565, 2726, 136, 4427
ellababy, 1505, 34.7, 2855, 1191, 109, 4155
ellingzipp, 962, 130.3, 39, 72, 1, 112
elliot, 1170, 24.7, 8302, 9725, 775, 18802
elliottblatt, 1274, 104.5, 7625, 8832, 577, 17034
elliottwbrown, 1526, 63.8, 2515, 2151, 241, 4907
Ellmoernie, 722, 92.2, 22, 90, 3, 115
ElMagoVago, 1304, 30.9, 3305, 3258, 128, 6691
elman, 1878, 31.0, 9524, 8914, 945, 19383
elmartillodedios, 645, 85.1, 5, 42, 1, 48
ElMatatan, 716, 107.6, 5, 39, 1, 45, 2524, 187.2, 101, 4, 4, 109
Elmerson, 1408, 20.5, 40282, 37480, 4132, 81894
elmira, 1025, 41.0, 1131, 1301, 96, 2528
ElObservador, 1436, 71.8, 423, 348, 40, 811
Elpadawan, 1224, 28.4, 931, 829, 53, 1813
elpascoe, 995, 28.9, 1003, 2344, 26, 3373
elracoon, 1525, 36.0, 1106, 901, 74, 2081
elraschit, 1685, 29.8, 3666, 1762, 197, 5625
elrodtherocker, 1393, 35.1, 3176, 2163, 268, 5607
ElRoque, 952, 166.8, 2, 6, 1, 9
elsaguaro, 1681, 31.6, 3135, 1730, 362, 5227
elshaddai, 1262, 35.5, 434, 550, 30, 1014
Eltsuj, 998, 95.0, 146, 324, 9, 479
elucifer, 943, 226.5, 0, 3, 0, 3
elviejoperro, 1414, 31.9, 2066, 1694, 118, 3878
elvinclones, 1279, 29.3, 645, 948, 95, 1688
ElwynT, 1855, 121.1, 146, 110, 14, 270
elxgato, 1202, 163.7, 2, 4, 0, 6
elxiling, 1528, 117.8, 134, 36, 6, 176
elyaz, 1671, 137.5, 595, 530, 60, 1185
Elysine, 1655, 62.4, 767, 278, 35, 1080
emanasker, 1690, 114.2, 457, 504, 70, 1031
emaster, 1152, 64.7, 158, 333, 11, 502
embu, 1387, 23.4, 25247, 32279, 2687, 60213
Emie, 1784, 117.0, 2171, 1791, 172, 4134
emilcellier, 576, 157.4, 0, 11, 0, 11
Emilkin, 1250, 69.1, 23, 51, 3, 77
emmasam, 1520, 31.8, 18891, 12481, 1648, 33020
emohisi, 1452, 84.3, 4572, 3948, 295, 8815
emoho, 998, 37.7, 297, 250, 21, 568
emperor, 1810, 32.2, 4924, 4173, 613, 9710
EmpireCityRay, 1010, 87.8, 560, 336, 54, 950
empoulator, 1373, 60.3, 1212, 1122, 72, 2406
emptymate, 1452, 26.6, 5299, 5105, 719, 11123
enanito, 1517, 70.3, 4013, 3432, 195, 7640
Endangered, 1680, 165.1, 586, 732, 57, 1375
endar, 1432, 49.7, 71, 75, 7, 153
endir, 1192, 30.0, 5872, 7115, 228, 13215
EndlessKnights, 1179, 108.2, 846, 1593, 71, 2510
endon, 1252, 41.3, 4705, 5308, 246, 10259
endresjohn, 1140, 31.3, 3309, 5826, 380, 9515
eneg, 990, 129.8, 225, 1222, 24, 1471
Eneias, 1431, 77.8, 206, 179, 20, 405
Eneod, 1865, 29.8, 784, 539, 75, 1398
energon, 1378, 132.6, 92, 50, 4, 146
ENGAGEME, 881, 86.6, 6, 26, 0, 32
engineart, 1271, 24.9, 9017, 14363, 640, 24020
engineergndu, 1250, 95.1, 273, 351, 21, 645
eniacz, 860, 128.7, 30, 54, 2, 86
enigmarr, 1831, 74.5, 2265, 1582, 191, 4038
enik, 1163, 342.8, 0, 1, 0, 1
EnjoyMusic, 1117, 177.3, 2, 3, 1, 6
Enkhbaatar, 1076, 78.9, 852, 1630, 47, 2529
enkindu, 1218, 59.0, 607, 775, 35, 1417
EnnuiBugger, 1679, 101.7, 3289, 2090, 262, 5641
Enochian, 1846, 24.2, 14851, 16060, 1611, 32522
Enochthis, 1045, 192.2, 0, 4, 0, 4
enredoloco, 873, 54.1, 96, 157, 5, 258
enricopalazzo, 1988, 183.2, 57, 16, 8, 81
enriquech, 1395, 27.8, 3118, 2863, 290, 6271
ensoro, 1332, 35.1, 4396, 3349, 210, 7955
entrenamiento, 1210, 181.5, 19, 23, 0, 42
entrokey, 1055, 48.9, 714, 2503, 17, 3234
ENUX, 1270, 38.1, 1645, 1843, 170, 3658
Eoinie, 1558, 26.9, 1083, 2480, 234, 3797
eonion, 977, 50.6, 36, 75, 2, 113
EOSantonio, 1522, 16.3, 11262, 8289, 723, 20274
EowynFather, 1613, 31.6, 7524, 2029, 375, 9928
epaguag, 1230, 61.9, 2366, 3858, 175, 6399
Epals, 1556, 44.9, 378, 279, 26, 683
epil, 1001, 112.3, 17, 30, 0, 47
Epitaph, 1595, 23.5, 16841, 25106, 2287, 44234
Epitasis, 1926, 32.1, 81, 86, 3, 170
Epprecht, 1360, 26.4, 2724, 5381, 301, 8406
epsilonv, 1297, 99.5, 2180, 2058, 139, 4377
epsy, 1516, 25.8, 5991, 5880, 402, 12273
Eptama, 1279, 122.9, 3979, 5380, 428, 9787
epurd, 1124, 29.7, 3109, 3258, 172, 6539
equerre, 1165, 57.1, 1562, 1914, 144, 3620
ERACTUS, 1194, 73.8, 2913, 3966, 377, 7256
Eraihito, 1123, 106.8, 15, 14, 2, 31
eralash, 1311, 70.8, 36, 61, 6, 103
ERAZEM, 2021, 37.2, 2992, 2776, 429, 6197
erazorhead, 1415, 29.0, 7391, 6316, 954, 14661
ERBO, 1540, 34.0, 1342, 2062, 110, 3514
ercsi, 1986, 125.0, 1175, 585, 126, 1886
erdem, 891, 31.8, 115, 538, 4, 657
erdene, 1577, 210.5, 6749, 9190, 1292, 17231
Ereshkigal, 1123, 30.8, 922, 1375, 31, 2328
ergs, 1466, 48.7, 1454, 2156, 101, 3711
erhard, 1738, 24.0, 7185, 5153, 951, 13289
ericbwoo, 1602, 29.3, 764, 825, 66, 1655
ericericlm, 1557, 37.0, 352, 203, 31, 586
ErickSantos, 1157, 112.6, 536, 767, 53, 1356
ericnovik, 1558, 293.2, 0, 1, 0, 1
EricNYC, 1427, 61.8, 556, 704, 56, 1316
ericwong, 1474, 101.2, 1327, 1094, 181, 2602
eridu, 1501, 26.1, 6851, 5969, 462, 13282
erihan, 1613, 26.7, 1563, 1863, 177, 3603
erikj, 1502, 34.9, 6085, 3328, 623, 10036
erikm, 1213, 105.7, 2411, 2736, 167, 5314
erista, 1334, 24.1, 5837, 10684, 451, 16972
ErkanY, 1140, 46.8, 925, 1417, 110, 2452
Erkin, 1301, 54.9, 494, 435, 32, 961
ErnestHemingway, 1196, 27.3, 2667, 3346, 254, 6267
ErnestoTobar, 1458, 75.8, 243, 441, 45, 729
ErnSoo, 745, 183.6, 0, 9, 0, 9
erokk, 1224, 40.5, 2234, 1896, 165, 4295
eroma, 1417, 23.8, 2987, 2559, 120, 5666
eronald, 1084, 31.4, 3123, 4373, 220, 7716
ErrareHumanumEst, 1516, 41.9, 4510, 2836, 515, 7861
errejp, 1446, 39.9, 747, 1200, 136, 2083
Erron, 1587, 98.7, 3736, 3397, 446, 7579
ersantos, 1384, 232.8, 772, 873, 81, 1726
ersurajkumar, 1225, 222.3, 0, 3, 0, 3
Erujeje, 1457, 161.4, 10, 7, 1, 18
erven, 1633, 33.0, 9907, 6291, 724, 16922
esb, 1475, 27.2, 4819, 4392, 506, 9717
escapade, 1198, 44.3, 99, 86, 5, 190
EscapeMSN, 1316, 82.4, 6097, 8869, 296, 15262
eschneie, 1204, 30.5, 280, 339, 14, 633, 1088, 141.5, 1135, 2199, 78, 3412
eshrgk, 875, 51.1, 64, 511, 3, 578
Esistes, 1143, 50.0, 2186, 1978, 124, 4288
EskimoJoe, 1271, 106.7, 14, 34, 2, 50
esklam, 978, 77.1, 560, 766, 21, 1347
eskrimakaliarnis, 983, 41.2, 762, 864, 40, 1666
ESofy, 1532, 119.3, 16, 16, 0, 32
esorciccio, 1545, 68.7, 238, 343, 15, 596
Espartero, 1053, 29.3, 2232, 2691, 72, 4995
Especulador, 1362, 44.2, 1818, 1681, 196, 3695
Esperax, 1355, 70.5, 1146, 924, 145, 2215
esperthirteen, 1572, 148.4, 11, 5, 1, 17
espinosac, 1473, 56.8, 94, 70, 9, 173
Esprityou, 1919, 94.9, 905, 331, 53, 1289
Estanyol, 1149, 39.8, 421, 633, 27, 1081
estebano, 1410, 122.9, 693, 684, 44, 1421
esticles, 1321, 48.3, 695, 637, 70, 1402
Estranger, 1476, 29.6, 1478, 1235, 167, 2880
Estrass, 1521, 94.2, 1461, 1155, 101, 2717
estroncio, 1517, 28.4, 5732, 7111, 584, 13427
Esturgeon, 797, 126.8, 44, 218, 3, 265
estusa, 1432, 70.0, 132, 174, 22, 328
etarak, 968, 93.9, 332, 468, 41, 841
EternalLooser, 824, 72.4, 195, 652, 6, 853
ethicalRascal, 1600, 20.8, 17524, 16603, 1144, 35271
Etligier, 1446, 52.9, 364, 448, 37, 849
etor, 1667, 30.0, 13410, 13146, 1740, 28296
etrain, 1061, 121.0, 30, 41, 3, 74
etsberg, 1244, 73.5, 231, 150, 12, 393
Etts, 1047, 93.9, 146, 244, 16, 406
EtueShuni, 1308, 33.7, 272, 366, 35, 673
eudo, 1497, 27.5, 12368, 16439, 1170, 29977
eugenechess, 1259, 82.4, 623, 537, 59, 1219
eugenek, 1196, 52.5, 175, 123, 22, 320
eugeniusjr, 1804, 42.0, 2935, 2752, 304, 5991
eurus, 1666, 30.7, 405, 199, 21, 625
Eutanasia, 1083, 350.0, 0, 1, 0, 1
Evaldas, 1236, 71.4, 289, 276, 18, 583
evanfd, 1510, 33.3, 5007, 4807, 385, 10199
EvanJunior, 1127, 58.4, 325, 430, 21, 776
EvanSauce, 923, 49.0, 370, 914, 10, 1294
evanyoseph, 1590, 70.8, 252, 366, 31, 649
eventhorizen, 826, 151.4, 1, 11, 0, 12
everaldo, 1570, 43.0, 1216, 1360, 100, 2676
evergreen, 1659, 24.5, 3984, 3302, 255, 7541
everkill, 986, 272.3, 12, 26, 0, 38
EvilCheeseMan, 947, 72.9, 6, 32, 2, 40
Evilclowntime, 1091, 41.7, 174, 246, 25, 445
evilcoyote, 1900, 29.4, 2362, 2059, 371, 4792
EvilEcstasy, 1433, 102.5, 295, 251, 36, 582
evilmike, 1584, 26.0, 4132, 3713, 329, 8174
Evsiukov, 1650, 21.5, 7817, 10558, 885, 19260
Ewen, 1393, 39.6, 3081, 1910, 250, 5241
exactement, 1239, 48.2, 188, 98, 6, 292
Exageemelo, 774, 84.7, 143, 245, 11, 399
EXASPEROV, 1531, 272.9, 1, 1, 0, 2
excelinexile, 1723, 350.0, 1, 0, 0, 1
Excelsius, 1715, 37.8, 4704, 2084, 573, 7361
exclam, 1606, 104.4, 7707, 4158, 495, 12360
exfishing, 1139, 115.9, 152, 218, 12, 382
ExiledSaint, 1661, 55.1, 278, 193, 17, 488
Exilfriese, 1659, 25.3, 335, 362, 27, 724
ExirK, 1265, 46.7, 514, 851, 108, 1473
Exotec, 1442, 19.7, 1269, 1439, 90, 2798
expchess, 1140, 88.2, 149, 188, 6, 343
expertharsh, 878, 92.8, 29, 112, 1, 142
expertmarss, 1415, 125.9, 1539, 2393, 89, 4021
ExpertPlay, 1430, 30.4, 4112, 3273, 224, 7609
Experttmars, 1367, 58.6, 727, 1056, 30, 1813
expiredninja, 1069, 76.2, 464, 621, 21, 1106
ExplodingPulses, 1430, 44.7, 1419, 1253, 151, 2823
